passbook_number,farmer_name,mobile_number,village,mandal,district,survey_number,total_land_acres,latitude,longitude
PPB000001,Ramesh Yadav,9332181960,Gachibowli,Serilingampally,Hyderabad,SY000001,1.27,17.434473,78.349007
PPB000002,Srikanth Naidu,9863794026,Kondapur,Serilingampally,Hyderabad,SY000002,4.06,17.45111,78.365144
PPB000003,Suresh Reddy,9615594078,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000003,2.12,17.198446,78.563576
PPB000004,Naresh Varma,9593103413,Shamirpet,Shamirpet,Medchal,SY000004,8.8,17.592303,78.564068
PPB000005,Ravi Patel,9534192832,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000005,5.16,17.185399,78.580508
PPB000006,Mahesh Patel,9030564139,Suryapet,Suryapet,Suryapet,SY000006,8.89,17.136294,79.623109
PPB000007,Venkat Verma,9242388496,Shadnagar,Shadnagar,Rangareddy,SY000007,9.08,17.067988,78.199386
PPB000008,Srikanth Verma,9101226916,Miyapur,Serilingampally,Hyderabad,SY000008,4.43,17.505922,78.357582
PPB000009,Naresh Kumar,9184514627,Suryapet,Suryapet,Suryapet,SY000009,1.03,17.144442,79.624394
PPB000010,Arjun Rao,9814893252,Suryapet,Suryapet,Suryapet,SY000010,5.85,17.145573,79.620607
PPB000011,Prakash Patel,9701543039,Kondapur,Serilingampally,Hyderabad,SY000011,9.52,17.449713,78.35572
PPB000012,Arjun Goud,9227824896,Gachibowli,Serilingampally,Hyderabad,SY000012,9.68,17.448678,78.354005
PPB000013,Mohan Yadav,9657871331,Bachupally,Quthbullapur,Medchal,SY000013,4.04,17.547766,78.361602
PPB000014,Ramesh Reddy,9031051834,Bachupally,Quthbullapur,Medchal,SY000014,7.02,17.540285,78.359646
PPB000015,Prakash Verma,9376311656,Kodad,Kodad,Suryapet,SY000015,4.7,17.005277,79.956083
PPB000016,Ramesh Sharma,9513338726,Gachibowli,Serilingampally,Hyderabad,SY000016,2.65,17.439353,78.35639
PPB000017,Vijay Goud,9108013267,Gachibowli,Serilingampally,Hyderabad,SY000017,5.33,17.447393,78.356949
PPB000018,Rajesh Kumar,9647468723,Miyapur,Serilingampally,Hyderabad,SY000018,3.67,17.505374,78.358584
PPB000019,Ramesh Patel,9009788208,Suryapet,Suryapet,Suryapet,SY000019,1.72,17.133716,79.621901
PPB000020,Rajesh Reddy,9939909169,Bachupally,Quthbullapur,Medchal,SY000020,6.09,17.542327,78.362215
PPB000021,Mahesh Yadav,9624751079,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000021,9.99,17.199922,78.563465
PPB000022,Srikanth Yadav,9251354278,Bachupally,Quthbullapur,Medchal,SY000022,7.33,17.548234,78.376745
PPB000023,Ramesh Goud,9412411824,Suryapet,Suryapet,Suryapet,SY000023,3.54,17.134213,79.616858
PPB000024,Srikanth Verma,9401640052,Shamirpet,Shamirpet,Medchal,SY000024,6.73,17.589939,78.569825
PPB000025,Mohan Sharma,9801128059,Suryapet,Suryapet,Suryapet,SY000025,5.97,17.138596,79.610837
PPB000026,Venkat Kumar,9533158692,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000026,9.33,17.184735,78.56525
PPB000027,Venkat Sharma,9025634216,Miyapur,Serilingampally,Hyderabad,SY000027,8.85,17.503172,78.351449
PPB000028,Anil Yadav,9330365414,Nalgonda,Nalgonda,Nalgonda,SY000028,4.16,17.050188,79.27059
PPB000029,Anil Kumar,9142940196,Suryapet,Suryapet,Suryapet,SY000029,4.11,17.145729,79.618728
PPB000030,Suresh Sharma,9934060883,Suryapet,Suryapet,Suryapet,SY000030,4.28,17.131399,79.623285
PPB000031,Prakash Patel,9148465648,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000031,2.15,17.188409,78.580807
PPB000032,Prakash Varma,9468044369,Miyapur,Serilingampally,Hyderabad,SY000032,6.46,17.492445,78.355836
PPB000033,Srikanth Verma,9214895134,Bachupally,Quthbullapur,Medchal,SY000033,3.02,17.539983,78.357489
PPB000034,Vijay Varma,9176936763,Bachupally,Quthbullapur,Medchal,SY000034,2.33,17.549752,78.374853
PPB000035,Arjun Sharma,9328708317,Gachibowli,Serilingampally,Hyderabad,SY000035,2.2,17.439393,78.349523
PPB000036,Prakash Patel,9798687277,Suryapet,Suryapet,Suryapet,SY000036,3.33,17.134945,79.622753
PPB000037,Vijay Naidu,9471434558,Suryapet,Suryapet,Suryapet,SY000037,1.73,17.133017,79.617661
PPB000038,Mohan Naidu,9166587603,Miyapur,Serilingampally,Hyderabad,SY000038,8.5,17.49379,78.362396
PPB000039,Naresh Varma,9670546688,Kondapur,Serilingampally,Hyderabad,SY000039,8.2,17.465956,78.355765
PPB000040,Rajesh Verma,9065627298,Shamirpet,Shamirpet,Medchal,SY000040,1.24,17.59258,78.566288
PPB000041,Suresh Sharma,9272046537,Kondapur,Serilingampally,Hyderabad,SY000041,3.94,17.463225,78.353583
PPB000042,Kiran Reddy,9708053100,Shadnagar,Shadnagar,Rangareddy,SY000042,9.55,17.063987,78.195408
PPB000043,Mahesh Rao,9719374529,Miyapur,Serilingampally,Hyderabad,SY000043,6.47,17.500959,78.349291
PPB000044,Kiran Reddy,9904966319,Miyapur,Serilingampally,Hyderabad,SY000044,7.22,17.498545,78.349038
PPB000045,Naresh Varma,9190586518,Shamirpet,Shamirpet,Medchal,SY000045,6.83,17.584953,78.563401
PPB000046,Suresh Sharma,9572628498,Nalgonda,Nalgonda,Nalgonda,SY000046,7.97,17.049297,79.273515
PPB000047,Kiran Patel,9314737996,Kodad,Kodad,Suryapet,SY000047,4.03,16.997886,79.9615
PPB000048,Mahesh Patel,9454948083,Nalgonda,Nalgonda,Nalgonda,SY000048,1.77,17.054401,79.266772
PPB000049,Mohan Verma,9770143634,Bachupally,Quthbullapur,Medchal,SY000049,6.98,17.54338,78.368069
PPB000050,Rajesh Goud,9557444313,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000050,3.84,17.194858,78.581018
PPB000051,Mahesh Naidu,9749894134,Miyapur,Serilingampally,Hyderabad,SY000051,3.05,17.489589,78.347283
PPB000052,Ravi Yadav,9008427109,Suryapet,Suryapet,Suryapet,SY000052,3.56,17.139574,79.616814
PPB000053,Kiran Verma,9116719022,Kondapur,Serilingampally,Hyderabad,SY000053,8.3,17.466983,78.347704
PPB000054,Suresh Goud,9699938677,Bachupally,Quthbullapur,Medchal,SY000054,3.68,17.547771,78.365577
PPB000055,Prakash Kumar,9913341232,Kodad,Kodad,Suryapet,SY000055,5.97,16.991131,79.96317
PPB000056,Vijay Yadav,9034471349,Kodad,Kodad,Suryapet,SY000056,6.95,17.006673,79.963503
PPB000057,Mahesh Rao,9421024994,Suryapet,Suryapet,Suryapet,SY000057,4.95,17.139374,79.616082
PPB000058,Kiran Goud,9877190659,Shadnagar,Shadnagar,Rangareddy,SY000058,3.25,17.061827,78.214238
PPB000059,Prakash Kumar,9490278742,Kodad,Kodad,Suryapet,SY000059,9.97,16.996718,79.971285
PPB000060,Vijay Patel,9655125674,Gachibowli,Serilingampally,Hyderabad,SY000060,6.96,17.438109,78.35411
PPB000061,Vijay Reddy,9545168087,Kondapur,Serilingampally,Hyderabad,SY000061,4.72,17.451752,78.353236
PPB000062,Naveen Verma,9034824771,Nalgonda,Nalgonda,Nalgonda,SY000062,1.26,17.0526,79.272986
PPB000063,Kiran Goud,9086131712,Miyapur,Serilingampally,Hyderabad,SY000063,5.49,17.500332,78.357177
PPB000064,Rajesh Verma,9737826398,Shamirpet,Shamirpet,Medchal,SY000064,7.72,17.58743,78.556396
PPB000065,Anil Goud,9404499727,Shadnagar,Shadnagar,Rangareddy,SY000065,5.85,17.066902,78.206038
PPB000066,Rajesh Verma,9533963605,Suryapet,Suryapet,Suryapet,SY000066,7.7,17.144105,79.626228
PPB000067,Naveen Rao,9702895171,Shadnagar,Shadnagar,Rangareddy,SY000067,5.73,17.069139,78.209449
PPB000068,Naresh Rao,9174596158,Shadnagar,Shadnagar,Rangareddy,SY000068,4.42,17.066333,78.209374
PPB000069,Naresh Goud,9091343161,Nalgonda,Nalgonda,Nalgonda,SY000069,7.84,17.054078,79.25901
PPB000070,Mohan Yadav,9005045562,Miyapur,Serilingampally,Hyderabad,SY000070,3.2,17.494241,78.360636
PPB000071,Ravi Rao,9196937923,Miyapur,Serilingampally,Hyderabad,SY000071,5.15,17.49108,78.352107
PPB000072,Venkat Verma,9482175946,Kondapur,Serilingampally,Hyderabad,SY000072,7.21,17.457137,78.352042
PPB000073,Naresh Verma,9136959440,Shadnagar,Shadnagar,Rangareddy,SY000073,9.8,17.073165,78.20049
PPB000074,Naresh Kumar,9974395339,Kodad,Kodad,Suryapet,SY000074,3.26,17.003112,79.970349
PPB000075,Naveen Reddy,9047095214,Miyapur,Serilingampally,Hyderabad,SY000075,3.94,17.49431,78.351016
PPB000076,Venkat Patel,9884247451,Suryapet,Suryapet,Suryapet,SY000076,5.21,17.131506,79.625083
PPB000077,Naresh Sharma,9851604817,Bachupally,Quthbullapur,Medchal,SY000077,4.32,17.55098,78.362243
PPB000078,Naresh Patel,9137098593,Shadnagar,Shadnagar,Rangareddy,SY000078,6.83,17.072708,78.204285
PPB000079,Naveen Sharma,9120047113,Shamirpet,Shamirpet,Medchal,SY000079,8.99,17.587413,78.564073
PPB000080,Rajesh Varma,9261796405,Suryapet,Suryapet,Suryapet,SY000080,2.96,17.138894,79.614722
PPB000081,Suresh Patel,9850643171,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000081,6.96,17.192834,78.573943
PPB000082,Ramesh Patel,9329318393,Kondapur,Serilingampally,Hyderabad,SY000082,8.32,17.45266,78.361487
PPB000083,Ramesh Yadav,9228421020,Kodad,Kodad,Suryapet,SY000083,4.22,17.003769,79.966777
PPB000084,Ravi Yadav,9026811775,Kondapur,Serilingampally,Hyderabad,SY000084,5.62,17.450181,78.356077
PPB000085,Ramesh Goud,9470076617,Kodad,Kodad,Suryapet,SY000085,7.41,16.996871,79.972985
PPB000086,Prakash Rao,9124998569,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000086,5.78,17.189074,78.574109
PPB000087,Arjun Reddy,9836736576,Gachibowli,Serilingampally,Hyderabad,SY000087,4.74,17.432002,78.347435
PPB000088,Anil Rao,9711116152,Shamirpet,Shamirpet,Medchal,SY000088,6.01,17.596429,78.566232
PPB000089,Naveen Reddy,9656049451,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000089,6.2,17.184255,78.575135
PPB000090,Naresh Reddy,9585149368,Bachupally,Quthbullapur,Medchal,SY000090,9.77,17.552369,78.369271
PPB000091,Ramesh Varma,9402445502,Suryapet,Suryapet,Suryapet,SY000091,8.83,17.141326,79.618016
PPB000092,Mohan Kumar,9183667525,Miyapur,Serilingampally,Hyderabad,SY000092,3.8,17.492488,78.365828
PPB000093,Suresh Kumar,9229014767,Kodad,Kodad,Suryapet,SY000093,6.46,16.996284,79.959311
PPB000094,Suresh Patel,9614978403,Suryapet,Suryapet,Suryapet,SY000094,4.56,17.141986,79.610154
PPB000095,Mahesh Rao,9445107622,Shamirpet,Shamirpet,Medchal,SY000095,4.42,17.598773,78.565005
PPB000096,Suresh Sharma,9060715969,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000096,4.64,17.192803,78.56779
PPB000097,Ramesh Patel,9297516136,Shadnagar,Shadnagar,Rangareddy,SY000097,6.3,17.070479,78.202915
PPB000098,Mohan Patel,9352181883,Shamirpet,Shamirpet,Medchal,SY000098,9.15,17.591688,78.569548
PPB000099,Mahesh Reddy,9243292127,Miyapur,Serilingampally,Hyderabad,SY000099,5.18,17.497275,78.358589
PPB000100,Naveen Varma,9552717744,Kodad,Kodad,Suryapet,SY000100,6.32,16.995039,79.956484
PPB000101,Vijay Kumar,9054119986,Nalgonda,Nalgonda,Nalgonda,SY000101,5.16,17.051086,79.272836
PPB000102,Vijay Varma,9359782071,Kondapur,Serilingampally,Hyderabad,SY000102,8.3,17.464748,78.365648
PPB000103,Srikanth Rao,9037788925,Gachibowli,Serilingampally,Hyderabad,SY000103,4.36,17.435758,78.347075
PPB000104,Naveen Varma,9051518644,Ibrahimpatnam,Ibrahimpatnam,Rangareddy,SY000104,7.51,17.193131,78.580127
PPB000105,Anil Reddy,9925462914,Miyapur,Serilingampally,Hyderabad,SY000105,6.03,17.49887,78.35357
PPB000106,Naveen Goud,9168505423,Miyapur,Serilingampally,Hyderabad,SY000106,4.08,17.501323,78.35084
PPB000107,Ravi Reddy,9418880592,Miyapur,Serilingampally,Hyderabad,SY000107,6.38,17.489085,78.350617
PPB000108,Arjun Rao,9706537947,Kodad,Kodad,Suryapet,SY000108,3.11,16.992783,79.974312
PPB000109,Venkat Naidu,9597746886,Nalgonda,Nalgonda,Nalgonda,SY000109,9.7,17.056338,79.273025
